test_name,test_number,question_number,exact_question_text,question_text_summary,choices_compact,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_J,choice_K,correct_answer_raw,explanation_raw,primary_topic,secondary_topics,subtopics,concept_path,not_connected_to,solution_pathway_1,solution_pathway_2,solution_pathway_3,answer,answer_reasoning,student_misconception_risks,skill_gap_if_wrong,tutor_note,mindcraft_original_question_angle,confidence_level,review_priority,source_status,notes_from_akshat,raw_concept_tag,raw_subskill_tag,raw_difficulty,rewrite_needed_for_mindcraft,source_site,source_url,raw_notes,intelligence_status,batch_status,last_updated
ACT Math Practice Test 1,1,1,"Which of the following numbers completes the sequence 3, 8, 14, 21, 29, ___?","Sequence: 3, 8, 14, 21, 29, __. Find the next term.",A. 35 | B. 36 | C. 37 | D. 38 | E. 39,35,36,37,38,39,,,,,,,,Sequences & Patterns,Number patterns,Finite sequences; first differences; growing differences; next-term prediction,"Sequences & Patterns → finite sequence → compare successive terms → first differences are +5,+6,+7,+8 → continue pattern with +9 → next term",Arithmetic series; geometric series; summation formulas; geometric sequence,"Subtract consecutive terms: 8−3=5, 14−8=6, 21−14=7, 29−21=8. Since differences grow by 1, next difference is 9; 29+9=38.","See the pattern as repeated addition where the amount added increases by 1 each step: +5, +6, +7, +8, then +9.","Use recursive thinking: each new term equals previous term plus an increasing counter; after adding 8 to get 29, add 9.",38,"The differences between terms are 5, 6, 7, and 8, so the next difference should be 9. Therefore 29 + 9 = 38.",Student may assume every sequence question is arithmetic and look for one constant difference. Student may try to connect it to arithmetic/geometric series even though no summation is involved.,Weakness in checking first differences; overgeneralizing sequence labels; not distinguishing sequence vs series.,Emphasize: first ask how terms change. Sequence does not automatically mean arithmetic or geometric.,"Create a similar next-term question with increasing differences, then a contrast problem with constant differences to force classification.",High,Medium,Raw source imported + user explanation captured,"Akshat: this is just a sequence question; not arithmetic/geometric series; use growing differences +5,+6,+7,+8 then +9.",,,,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,,2026-06-20 23:15
ACT Math Practice Test 1,1,2,"Beth got a job painting dorm rooms at her college. At top speed, she could paint 5 identical rooms during one 6-hour shift. How long did she take to paint each room?",Beth paints 5 identical rooms in one 6-hour shift. How long per room?,F. 50 minutes | G. 1 hour and 10 minutes | H. 1 hour and 12 minutes | J. 1 hour and 15 minutes | K. 1 hour and 20 minutes,,,,,,50 minutes,1 hour and 10 minutes,1 hour and 12 minutes,1 hour and 15 minutes,1 hour and 20 minutes,,,"Rates, Units & Proportional Reasoning",Unit rate; work rate,Unit conversion; unit rate; rooms per hour; hours per room; proportional reasoning,Rates & Units → identify total work and total time → convert to one-unit measure → divide total time by number of rooms → hours per room,Complex multi-worker work-rate systems; dimensional analysis with seconds unless answer choices require conversion,Find time per room directly: 6 hours ÷ 5 rooms = 6/5 hours per room = 1.2 hours per room.,"Use unit fraction logic: one room is 1/5 of the 5-room workload, so time is 1/5 of 6 hours.","Convert if needed: 1.2 hours = 72 minutes, but this question likely stays in hours if choices are in hours.",6/5 hours or 1.2 hours,"She paints 5 rooms in 6 hours, so each identical room takes one-fifth of the shift: 6/5 hours.",Student may invert the ratio and compute 5/6 hour; may confuse rooms per hour with hours per room; may miss later unit conversion if answer choices use minutes/seconds.,Weakness in unit rate direction; not tracking units; proportional reasoning with multiple quantities.,"Teach students to write units beside every number: hours/room vs rooms/hour. The question asks time per room, so divide hours by rooms.","Make variations where the output unit changes: hours to minutes, minutes to seconds, or 10 rooms instead of 1 room.",High,High,Raw source imported + user explanation captured,Akshat: unit question with 2–3 moving units; convert to one-room metric; sometimes requires hours/min/sec conversion.,,,,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,,2026-06-20 23:15
ACT Math Practice Test 1,1,3,"If 5 x + 3 = 10 x – 17, what is the value of x ?","Solve a linear equation involving x terms on both sides, e.g., 5x + 3 = 10x − 17.",A. 1 | B. 2 | C. 3 | D. 4 | E. 5,1,2,3,4,5,,,,,,,,Algebra: Linear Equations,Equation solving,Like terms; inverse operations; variables on both sides; integer arithmetic; fraction-readiness,Algebra → identify unknown x → collect variable terms on one side → collect constants on other side → isolate x → verify,Quadratics; systems of equations; functions; graphing,Subtract 5x from both sides: 3 = 5x − 17. Add 17: 20 = 5x. Divide by 5: x = 4.,"Move all x terms left and constants right: 5x − 10x = −17 − 3, so −5x = −20 and x = 4.","Check by substitution: 5(4)+3 = 23 and 10(4)−17 = 23, so x=4 works.",4,"The equation reduces to 20 = 5x, giving x = 4.",Student may combine unlike terms incorrectly; may make sign mistakes moving terms; may panic if coefficients are fractions even though the process is identical.,Weakness in like terms; inverse operations; equation balance; fraction operations when coefficients are non-integers.,"Use this as a gateway diagnostic: after solving integer version, test whether student can solve the same structure with fractional coefficients.","Generate parallel versions with whole numbers, negative coefficients, and fractional coefficients to test robustness.",Medium-High,High,Raw source imported + user explanation captured,"Akshat: simple algebra, but important to know like terms and equation structure; fractions in coefficients can trip students.",,,,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,,2026-06-20 23:15
ACT Math Practice Test 1,1,4,"The number 4 is the smallest positive integer that has exactly three factors: 1, 2, and 4. If k is the next-highest integer that also has exactly three factors, what is the sum of the three factors of k ?","4 is the smallest positive integer with exactly 3 factors. If K is the next highest integer with exactly 3 factors, find the sum of K's three factors.",F. 13 | G. 14 | H. 16 | J. 18 | K. 20,,,,,,13,14,16,18,20,,,Number Theory,Factors & primes,Factors; prime numbers; perfect squares; factor counting; incremental search,"Number Theory → understand factors → recognize primes have exactly 2 factors → test integers above 4 → identify 9 with factors 1,3,9 → sum factors",LCM/GCF are adjacent but not required; divisibility rules may help but are not central,"Incrementally test: 5 is prime, 6 has 1,2,3,6, 7 is prime, 8 has 1,2,4,8, 9 has 1,3,9. Sum = 13.","Use prime-square insight: numbers with exactly 3 positive factors are squares of primes. After 4 = 2², the next is 3² = 9. Factors are 1,3,9; sum=13.",Eliminate primes because they have exactly two factors: 1 and themselves. Then check composites until one has exactly three factors.,13,"K=9 because it is the next integer after 4 with exactly three factors: 1, 3, and 9. Their sum is 13.",Student may think prime numbers have one factor instead of two; may list factors incompletely; may confuse factors with multiples; may overuse GCF/LCM when not needed.,Weakness in factor definition; prime/composite distinction; systematic factor listing; perfect-square factor behavior.,Teach the faster theorem only after the student can list factors manually: exactly 3 factors means prime square.,"Create a sequence of factor-count questions: exactly 2 factors, exactly 3 factors, exactly 4 factors, and ask what property changes.",Medium,High,Raw source imported + user explanation captured,Akshat: factor basics matter; avoid primes; K=9; sum 1+3+9. Faster pathway is prime square.,,,,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,,2026-06-20 23:15
ACT Math Practice Test 1,1,5,"William earned $3,200 per month as a teacher for the ten months from September to June. Then he took a job as a barista at a local café, where he earned $2,000 per month during July and August. What was his average monthly pay for the 12 months?",William earns one monthly amount for 10 months and another monthly amount for July/August. Find average monthly pay over 12 months.,"A. $2,400 | B. $2,500 | C. $2,600 | D. $2,800 | E. $3,000","$2,400","$2,500","$2,600","$2,800","$3,000",,,,,,,,Statistics & Averages,Weighted average; arithmetic mean,Mean; total sum divided by count; weighted totals; word-problem translation; monthly units,Statistics → identify average requested → compute total earnings across all months → divide by total months → average monthly pay,Median/mode; probability; advanced statistics,"Compute total money from each period, add totals, divide by 12 months.",Use weighted average: average = (10 × school-year monthly pay + 2 × summer monthly pay) / 12.,"Translate the word problem into a table with columns: period, monthly pay, months, total pay, then average.","$3,000","Total earnings = 10 × $3,200 + 2 × $2,000 = $36,000. Average monthly pay = $36,000 ÷ 12 = $3,000.",Student may average the two monthly pay rates directly instead of weighting by number of months; may introduce unnecessary variables; may fail to see it is a mean problem because it is embedded in words.,Weakness in recognizing mean from word problems; weighted average; unit consistency; translating text into math.,"The core lesson is essence detection: ignore story noise, identify total/number of observations.","Create versions where the same mean structure appears as salary, test scores, miles, or production output.",Medium,High,Raw source imported + user explanation captured,"Akshat: this is a statistics word problem; students can find mean for 1,2,3,4,5 but freeze when words hide the same operation.",,,,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,,2026-06-20 23:15
ACT Math Practice Test 1,1,6,"When you multiply a number by 4 and then subtract 7, the result is the same as if you first subtracted 7 from the same number and then multiplied by 11. What is the number?",A number multiplied by 4 then minus 7 equals subtracting 7 from the number then multiplying by 11. Find the number.,F. 10 | G. 13 | H. 19 | J. 23 | K. 31,,,,,,10,13,19,23,31,,,Algebra: Translating Words to Equations,Linear equations; expression translation,Unknown variable; verbal-to-symbolic translation; one-variable linear equation; distributive property; equation solving,Algebra → define unknown number as x → translate first process into 4x−7 → translate second process into 11(x−7) → set equal → solve,True systems of equations with two unknowns; graphing systems; quadratic equations,"Let x be the number. First process: 4x−7. Second process: 11(x−7). Set equal: 4x−7 = 11(x−7), then solve.","Think of the sentence as two machines producing the same output. Machine A: multiply by 4, subtract 7. Machine B: subtract 7, multiply by 11. Same output means equation.","After solving, substitute back into both verbal processes to verify the two results match.",10,"4x−7 = 11(x−7). Expanding gives 4x−7 = 11x−77. Add 77 and subtract 4x: 70 = 7x, so x = 10.",Student may write 11x−7 instead of 11(x−7); may think it is a two-equation system when it is actually one equation from two equivalent expressions; may struggle to define the unknown.,Weakness in verbal translation; parentheses/distributive property; equation setup; interpreting 'same as' as equals.,Teach 'same as' as the equals sign and force parentheses around operations that happen before multiplication.,"Create variations where operation order changes: subtract then multiply vs multiply then subtract, to test parentheses understanding.",Medium-High,High,Raw source imported + user explanation captured,Akshat: two situations/equations around an unknown; students need to assume x and translate the processes; substitution/elimination language is adjacent but this is one-variable equation setup.,,,,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,,2026-06-20 23:15
ACT Math Practice Test 1,1,7,Which of the following inequalities is represented by the following number line?,Which of the following inequalities is represented by the following number line?,A. –5 < x < 5 | B. –5 ≤ x < 5 | C. –5 < x ≤ 5 | D. | x | < 5 | E. 5 ≤ | x |,–5 < x < 5,–5 ≤ x < 5,–5 < x ≤ 5,| x | < 5,5 ≤ | x |,,,,,,,,Inequalities & Number Lines,Number properties; interval notation,Compound inequalities; open/closed endpoints; interval boundaries; number line interpretation,Inequalities → read number line endpoint symbols → closed dot means included → open dot means excluded → combine lower and upper bounds into compound inequality,Sequences; arithmetic/geometric series; absolute value inequalities except as an answer-choice trap,"Read the left endpoint: closed dot at −5 means x can equal −5, so −5 ≤ x. Read the right endpoint: open dot at 5 means x is less than 5, so x < 5. Combine as −5 ≤ x < 5.","Use interval thinking: the shaded values run from −5 inclusive to 5 exclusive, which is [−5, 5). Translate that into inequality notation.",Eliminate traps: −5 < x < 5 excludes −5; −5 < x ≤ 5 includes the wrong endpoint; |x|<5 excludes both endpoints; 5≤|x| describes outside the interval.,−5 ≤ x < 5,"A closed circle includes the endpoint −5, while an open circle excludes the endpoint 5. The values between them satisfy −5 ≤ x < 5.","Students may reverse inequality direction, confuse open vs closed circles, treat the interval as absolute value, or forget that compound inequalities need both bounds.",Weakness in number line reading; endpoint inclusion/exclusion; compound inequality notation; interval notation translation.,"Standardize this as an inequalities/number-line concept, not generic number theory. Have students say aloud: closed = included, open = not included.","Create paired questions where only the endpoint dots change, then ask students to write both interval notation and inequality notation.",High,High,Raw source imported + user explanation captured,Akshat: number line from −7 to 7 with closed dot at −5 and open dot at 5; answer is −5 ≤ x < 5; strong number-line/inequality property issue; standardize tags for backend engine.,ACT Number & Quantity,Inequalities on number lines,Easy,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,Completed batch Q7-Q14,2026-06-20 23:35
ACT Math Practice Test 1,1,8,"In the following figure, the two triangles are similar. The lengths of their sides are shown. What is the value of y in terms of x ?","In the following figure, the two triangles are similar. The lengths of their sides are shown. What is the value of y in terms of x ?",F. x + 1 | G. x + 2 | H. x + 3 | J. x + 4 | K. x + 5,,,,,,x + 1,x + 2,x + 3,x + 4,x + 5,,,Geometry: Similar Triangles & Proportions,Ratios; scale factors; triangle similarity criteria,Similar triangles; corresponding sides; proportional side lengths; scale factor; SSS/SAS/AA similarity awareness,Geometry → identify similar triangles → match corresponding sides → set proportional ratios → solve for missing expression/side length,Triangle congruence as a final goal; unrelated arithmetic sequences; standalone ratio without geometric correspondence,"Use corresponding side ratios. If one pair of corresponding sides gives a 2:3 scale relationship, the other corresponding pair must preserve that same ratio.","Set up a proportion from the diagram, e.g. small side / large side = corresponding small side / corresponding large side, then solve algebraically.","Use scale-factor language: determine the multiplier from one triangle to the other, then apply it to the side involving x or y.","Needs figure verification; tag/logic captured, but final answer should be confirmed from the triangle diagram.",The core reasoning is that similar triangles preserve ratios between corresponding sides. The exact final expression depends on matching the correct sides in the figure.,"Students may compare non-corresponding sides, confuse similarity with congruence, use additive differences instead of multiplicative ratios, or not recognize why the triangles are similar.","Weakness in identifying corresponding sides; ratio setup; proportional reasoning; similarity criteria such as SSS, SAS, and AA.","Do not teach similarity as a memorized fact only. Make students label corresponding sides first, then build the proportion from the labels.","Create original problems with the same diagram structure but ask for scale factor, missing side, and algebraic expression in separate versions.",Medium,High,Raw source imported + user explanation captured; figure answer requires confirmation,Akshat: two similar triangles; students need similarity properties and ratio matching; mentioned ratio 2:3 and x:6; important to connect properties to solution rather than regurgitate facts.,ACT Geometry,Similar triangles and proportional sides,Medium,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions. Figure needed for final answer verification.",Partial - Akshat explained; final answer needs figure verification,Completed batch Q7-Q14,2026-06-20 23:35
ACT Math Practice Test 1,1,9,Which of the following is equal to ( n – 3) 2 if n = 11?,Which of the following is equal to ( n – 3) 2 if n = 11?,A. ( n + 6)( n – 6) | B. ( n + 5)( n – 7) | C. ( n + 4)( n – 8) | D. ( n + 3)( n – 9) | E. ( n + 2)( n – 10),( n + 6)( n – 6),( n + 5)( n – 7),( n + 4)( n – 8),( n + 3)( n – 9),( n + 2)( n – 10),,,,,,,,Algebra: Expression Evaluation & Equivalent Forms,Substitution; exponent rules; factoring patterns; answer-choice verification,Evaluate expressions; substitution; square of a binomial; difference of squares as answer-choice trap; equivalent numerical value,Algebra → substitute n = 11 → compute (11−3)^2 → get 64 → test which answer choice equals 64,Full polynomial expansion as a requirement; cubic formulas; solving equations,Evaluate the target first: (n−3)^2 with n=11 becomes (8)^2=64. Then plug n=11 into each answer choice until one equals 64.,Use factoring-pattern awareness: choices like (n+a)(n−b) can be evaluated quickly by substituting; no need to expand unless helpful.,"Check choices strategically: (11+5)(11−7)=16×4=64, so that expression matches the target value.",(n + 5)(n − 7),"When n=11, (11−3)^2=64. The choice (n+5)(n−7) becomes 16×4=64, so it is equal to the original expression for the given n.",Students may think they must expand every expression; may confuse (n−3)^2 with n^2−9; may not realize answer choices can be tested directly.,Weakness in substitution; exponent meaning; evaluating expressions; recognizing equivalent value vs algebraic identity.,"Emphasize that this question asks equality for n=11, not a universal identity. That makes substitution and answer-checking efficient.",Create variants where answer choices look algebraically similar but only one matches after substitution.,High,Medium,Raw source imported + user explanation captured,Akshat: algebra problem; substitute n=11 into (n−3)^2; formulas like (a−b)^2 may be adjacent but not required; use answer-choice checking.,ACT Algebra,Expression evaluation; substitution,Easy-Medium,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions.",Completed - Akshat explained,Completed batch Q7-Q14,2026-06-20 23:35
ACT Math Practice Test 1,1,10,"A square field has an area of 22,500 square feet. To the nearest foot, what is the diagonal distance across the field?","A square field has an area of 22,500 square feet. To the nearest foot, what is the diagonal distance across the field?",F. 150 feet | G. 178 feet | H. 191 feet | J. 212 feet | K. 260 feet,,,,,,150 feet,178 feet,191 feet,212 feet,260 feet,,,"Geometry: Squares, Area & Right Triangles",Square properties; area formula; diagonals; Pythagorean theorem,Square area; side length from area; diagonal as hypotenuse; special right triangle; rounding,Geometry → square area A=s^2 → find side length → draw diagonal to form right triangle → use Pythagorean theorem or 45-45-90 triangle → round,General parallelogram area only; rectangle diagonal without equal sides; perimeter,"Use area to get side length: s^2=22,500, so s=150. The diagonal of a square is s√2, so d=150√2≈212 feet.","Draw the diagonal and split the square into two right triangles. Each leg is 150, so d^2=150^2+150^2=45,000, and d≈212.",Recognize the 45-45-90 triangle: diagonal = leg×√2. This is faster once side length is known.,212 feet,"A square with area 22,500 has side 150. Its diagonal is the hypotenuse of a right triangle with legs 150 and 150, so the diagonal is 150√2≈212.",Students may give the side length instead of the diagonal; may forget to take the square root of area; may not connect square diagonal to right-triangle hypotenuse.,Weakness in square properties; area-to-side inversion; Pythagorean theorem; concept mapping from quadrilaterals to triangles.,This is a perfect concept-map question: Square → side length → right triangle → hypotenuse/diagonal.,"Create versions asking for side, area, diagonal, and perimeter from different starting information.",High,High,Raw source imported + user explanation captured,Akshat: geometry question under square/rectangle/parallelogram properties; use area to find side and then connect to right triangles/hypotenuse for diagonal.,ACT Geometry,Squares; area; Pythagorean theorem,Medium,Yes,CrackAB,https://www.crackab.com/act/math/test101.html,"Raw scraped source. Check formatting manually, especially image/formula questions. Raw question says 22,500 square feet.",Completed - Akshat explained,Completed batch Q7-Q14,2026-06-20 23:35
